f2v1n2e20,Y
20532.03,24261.843098999998
20531.326,24212.496745
20521.033,24163.150391
20510.701,24099.050781
20500.281,23924.980469
20502.137,23930.150391
20453.713,24262.509766
20441.121,24294.113281666665
20534.627,24325.716797333334
20541.146,24357.320313
20547.559,24360.210938
20553.867,24542.539063
20552.893,24739.529297
20588.395,24831.169922
20624.797,24853.916666666668
20637.44,24876.663411333335
20641.684,24899.410156
20645.924,24706.410156
20650.15,24768.929688
20613.717,24713.980469
20624.621,24715.089844
20612.156,24814.489583666666
20608.227,24913.889323333333
20623.598,25013.289063
20638.951,24834.410156
20654.281,24886.810547
20629.652,24811.759766
20642.23,24753.089844
