f7v2n2e20,Y
2436.166,2663.419922
2434.9094,2666.489909
2433.182,2669.5598959999998
2431.4473,2672.6298829999996
2429.9065,2671.919922
2427.6177,2697.790039
2424.8865,2723.070068
2430.3066,2727.719971
2439.2205,2728.523275
2441.3918,2729.3265789999996
2443.5525,2730.1298829999996
2445.7007,2711.449951
2450.3384,2722.459961
2457.5254,2720.1298829999996
2462.5461,2712.969971
2464.0857,2719.649984
2464.0552,2726.329997
2464.0251,2733.01001
2461.7917,2724.439941
2461.9907,2733.290039
2465.6897,2727.76001
2466.2708,2721.330078
