f7v1n2e20,Y
6005.406,7088.149901999999
6004.198,7209.620117
5996.832,7228.150065
5989.454,7246.680013
5982.0645,7265.209961
5996.318,7266.899901999999
5979.57,7339.910156
5977.0146,7404.970215
6030.995,7402.879883
6038.413,7405.693196666666
6045.82,7408.506510333333
6053.214,7411.319823999999
6054.425,7351.629883
6083.8203,7398.299805
6111.631,7382.470215
6116.2715,7354.339844
6118.3813,7367.573242333334
6120.4893,7380.806640666667
6122.5947,7394.040039
6095.5967,7378.459961
6112.3184,7425.959961
6104.692,7424.430176000001
6097.853,7433.850098000001
