f2v1n4e20,Y
1599.6272,1554.7624815
1599.3353,1553.284973
1596.5721,1551.8074645000002
1593.8071,1550.329956
1591.0404,1554.910034
1594.7217,1546.560059
1589.6764,1565.599976
1586.8489,1570.0499676666666
1606.6608,1574.4999593333334
1609.5731,1578.949951
1612.4835,1586.390015
1615.392,1596.050049
1617.0258,1603.709961
1628.4985,1606.790039
1639.179,1604.6400146666667
1641.3647,1602.4899903333333
1641.5459,1600.339966
1641.7269,1600.339966
1641.9076,1616.369995
1633.5482,1625.290039
1641.685,1626.630005
1641.3208,1630.233317
1639.2325,1633.8366290000001
1642.853,1637.439941
1646.4702,1625.23999
1650.0829,1627.609985
1643.1945,1628.219971
1648.3728,1626.930054
